STRING ID	DESCRIPTION	ENGLISH	FRENCH / FRANÇAIS	SPANISH / ESPAÑOL	GERMAN / DEUTSCH	ITALIAN / ITALIANO	PORTUGUESE / PORTUGUÊS (BR)	PORTUGUESE / PORTUGUÊS (PT)	RUSSIAN / РУССКИЙ	GREEK / ΕΛΛΗΝΙΚΑ	TURKISH / TÜRKÇE	DANISH / DANSK	NORWEGIAN (NB) / NORSK BOKMÅL	SWEDISH / SVENSKA	DUTCH / NEDERLANDS	POLISH / POLSKI	FINNISH / SUOMI	JAPANESE / 日本語	SIMPLIFIED CHINESE / 简体中文	TRADITIONAL CHINESE / 繁体中文	KOREAN / 한국어	CZECH / ČEŠTINA	HUNGARIAN / MAGYAR	ROMANIAN / ROMÂNĂ	THAI / ภาษาไทย	BULGARIAN / БЪЛГАРСКИ	עברית / HEBREW	 العربية / ARABIC	BOSNIAN
LANGUAGE_CODE	IETF language tag(s) without dash	enUS enGB	frFR	esES esAR esMX	deDE deCH deAT	itIT itCH	ptBR	ptPT	ruRU	elGR	trTR	daDK	noNB	svSE	nlNL	plPL	fiFI	jaJP	zhCN zhSG	zhTW zhHK zhMO	koKR	csCZ	huHU	roRO	thTH	bgBG	heIL	ar001	bsBS
LANGUAGE_EN	[LanguageName] in english	English	French	Spanish	German	Italian 	Portuguese (Brazil)	Portuguese	Russian	Greek	Turkish	Danish	Norwegian	Swedish	Dutch	Polish	Finnish	Japanese	Simplified Chinese	Traditional Chinese	Korean	Czech	Hungarian	Romanian	Thai	Bulgarian	Hebrew	Arabic	Bosnian
LANGUAGE_DIRECTION	ltr or rtl (text direction used by game code)	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	ltr	rtl	rtl	ltr
																													
Polyglot	100																												
HEALTH_AND_SAFETY_WARNING_TITLE		Health And Safety Warning																											
HEALTH_AND_SAFETY_WARNING_CONTENT		A small percentage of people may experience seizures when exposed to certain lights, patterns or images even with no history of epilepsy or seizures.  Please read health and safety warnings in your VR headset instruction manual before playing Beat Saber. Because you may be encouraged to perform intense action with your controllers also make sure to review your surroundings and clear any obstacles in your play area before starting the game. Always remember to stay in the center of the cleared play area and do not walk around.  Playing Beat Saber requires high physical activity so follow the same habits as doing a regular workout. Don't forget to stretch before playing and rest regularly in between levels. Some people may experience muscle soreness. If you experience this then immediately stop playing the game and rest.																											
CREDITS_CONTENT		<size=150%>Credits</color></size>  <color=#FFFFFF88>Programming, Game & Level Design, Graphics</color> Jan Ilavsky  <color=#FFFFFF88>Programming, Game Design</color> Vladimir Hrincar  <color=#FFFFFF88>Music Content & Sound</color> Jaroslav Beck  <color=#FFFFFF88>Programming, Game & Level Design</color> Peter Hrincar  <color=#FFFFFF88>Marketing</color> Michaela Dvorakova Zuzana Cinkova  <color=#FFFFFF88>Additional Programming</color> David Rysanek Jakub Tkac Jindrich Skeldal Jaroslav Stehlik Jacob Keen Martin Linda  <color=#FFFFFF88>Additional Level Creators</color> Josh 'Freeek' Joynes Jason 'GreatYazer' Planera Erlend 'Ruckus' Skotheim Benny 'DaBeast' White Matt 'Purphoros' Levet Miroslav Mikolaj Joonas 'Rustic' Jarvinen Daniel 'Kolezan' Pettersson  <color=#FFFFFF88>Additional 3D graphics</color> Daniel Garcia Aranda Alejandro Bielsa Martin Laura Uson Dolsac Pedro Solans  <color=#FFFFFF88>Original Soundtrack Vol.I</color> Jaroslav Beck Summer Haze & James Ruehlmann Generdyn Backchat Kings & Folk Tom Norris (Mastering)  <color=#FFFFFF88>Original Soundtrack Vol.II</color> Jaroslav Beck Mord Fustang Boom Kitty Sedliv Frank Bentley Megaphonix  <color=#FFFFFF88>Original Soundtrack Vol.III</color> Jaroslav Beck & Jan Ilavsky Morgan Page Pegboard Nerds Pixl Slippy Mutrix Boom Kitty  <color=#FFFFFF88>Extras Music Artists</color> K/DA Noisestorm Knower Virtual Self Camellia DJ Genki C-Show  <color=#FFFFFF88>Monstercat Music Pack Vol.1</color> Artists: Aero Chord, Pegboard Nerds, Tokyo Machine, Muzzy, RIOT, Rogue, Stonebank, Kayzo, Tristam, Feint Label: Monstercat  <color=#FFFFFF88>Imagine Dragons Music Pack</color> Natural (2018), Machine (2018), Bad Lair (2018), Thunder (2017), Believer (2017), Whatever It Takes (2017), Radioactive (2012), Digital (2018), It's Time (2012), Warriors (2015). Artist: Imagine Dragons Label: Universal Music s.r.o.  <color=#FFFFFF88>Panic! At The Disco Music Pack</color> The Greatest Show, Victorious, High Hopes, Emperor's New Clothes. Artist: Panic! At The Disco Label: DCD2 / Fueled By Ramen / Elektra Music Group  <color=#FFFFFF88>Rocket League x Monstercat Music Pack</color> Artists: Tokyo Machine, Stephen Walking, Slushii, Dion Timmer Label: Monstercat & Psyonix  <color=#FFFFFF88>Green Day Music Pack</color> Fire, Ready, Aim Performed by Green Day Courtesy of Reprise Records By arrangement with Warner Music Group Video Game Licensing (P) 2019 Reprise Records  Father of All… Performed by Green Day Courtesy of Reprise Records By arrangement with Warner Music Group Video Game Licensing (P) 2019 Reprise Records  American Idiot Performed by Green Day Courtesy of Reprise Records By arrangement with Warner Music Group Video Game Licensing (P) 2004 Reprise Records  Holiday Performed by Green Day Courtesy of Reprise Records By arrangement with Warner Music Group Video Game Licensing (P) 2004 Reprise Records  Boulevard Of Broken Dreams Performed by Green Day Courtesy of Reprise Records By arrangement with Warner Music Group Video Game Licensing (P) 2004 Reprise Records  Minority Performed by Green Day Courtesy of Reprise Records By arrangement with Warner Music Group Video Game Licensing (P) 2000 Reprise Records  <color=#FFFFFF88>Timbaland Music Pack</color> Has A Meaning Written by: Timbaland, Sid Tipton, Angel Lopez, Nash Overstreet, Larrance "Rance" Dopson, Leon Thomas, Jonathan Myvett Produced by: Timbaland for Beatclub Inc. Co-Produced by: Larrance "Rance" Dopson, Anonxmous & Angel Lopez for Beatclub Inc. Performed by: Sid Tipton, Timbaland Published by: Bluestone/Anthem Entertainment, Sony ATV, Blue Nike Publishing / Songs Of Volume Ventures Administered by Peermusic III Ltd., Flexitarian Music, Kobalt Music Group Courtesy of: Timbaland Productions, Inc.  While We're Young Written by: Lauren Christy, Nathan Brown, Mitchell Nugent, Jedidiah Gray, Federico Vindver,Benj Heard Produced by: Federico Vindver for Beatclub, Inc., Lauren Christy, Benj Heard Performed by: Wavezswavesz Published by: Warner Chappell, Benj Heard Music, Reservoir Media Courtesy of: Universal Music Group, Timbaland Productions Inc.  What I Like Written by: KARRA, Nash Overstreet, Angel Lopez, Federico Vindver, Timbaland, Leonardo Brooks Produced by: Federico Vindver, Angel Lopez & Timbaland for BEATCLUB, Inc., Leonardo Brooks Performed by: KARRA, Nash Overstreet, Common Strangers Published by: Bluestone/Anthem Entertainment, Warner Chappell, Flexitarian Music, Leo Brooks Music, Karra Madden Publishing Administered by Ultra Music Publishing Courtesy of: Timbaland Productions, Inc.  Dumb Thingz Written by: Kaydence, Jeffrey Baranowski, Luke Milano, Timbaland, Rickie "Caso" Tice, Federico Vindver Produced by: Timbaland & Federico Vindver for BEATCLUB, Inc. and 9AM Performed by: Kaydence, Timbaland Published by: Bluestone/Anthem Entertainment, Beach Wave Publishing and Last Gang Publishing Administered by Entertainment One Music, Seven Corners Music Administered by BMG Rights Management, Pen Piper Publishing Courtesy of: Timbaland Productions, Inc.  Famous - feat. Jake Davis Written by: Adam Boukis, JoshRa Collins, Jake Davis, Bruno Martini, Timbaland, Performed by: Bruno Martini, Timbaland (feat. Jake Davis) Produced by: Adam Boukis, Jake Davis, JoshRa Collins, Timbaland Published by: Bluestone / Anthem Entertainment, Universal Music Latin Entertainment, Adam Zachary Boukis Publishing, Jake David Publishing, Joshua Trey Daniel Collins Publishing Courtesy of: Timbaland Productions, Inc.  Music Clearance by: Rosie Howe - StraightUp Music Supervision Matthew Kamen - Grubman Shire & Meiselas, P.C. Jaroslav Beck - Beat Games Vickie Nauman - CrossBorderWorks Consulting & Advising  <color=#FFFFFF88>Linkin Park Music Pack</color> Bleed It Out, Breaking the Habit, Faint, Given Up, In the End, New Divide, Numb, One Step Closer, Papercut, Somewhere I Belong, What I've Done Artist: Linkin Park  Thanks to everyone who supported us and helped us make this game a reality!  <color=#FFFFFF88>Special thanks to</color> Barbora Ilavska, Helena Ilavska, Zuzana Vrablova, Jan Ilavsky Sr., Rober Vojta, Pavel Barak, Pavol Buday, Michal Berlinger, Pavel Dobrovsky, Jakub Dvorsky, Lukas Macura, Matous Jezek, Peter Nagy, Jenna Seiden, Marco DeMiroz, Tipatat Chennavasin, Deborah Guzman, Cix, Ruirize, Swan, AJ 'Dr Doom', Petr Sulc, Monika Hrincarova, Julie Planera																											
BUTTON_PLAY		Play		Tocar																									
